AM_N_068	BT_N_001	SRR10034523	SRR11440496	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12244814	SRR12527961	SRR13189063	SRR13189066	SRR13404632	SRR13404634	SRR13404636	SRR13404641	SRR13442813	SRR13442815	SRR13442827	SRR13442828	SRR13442829	SRR13442831	SRR13769013	SRR13769015	SRR13769016	SRR13769017	SRR13769019	SRR1380984	SRR15496106	SRR15496109	SRR15496114	SRR1790685	SRR1790687	SRR18500042	SRR18500043	SRR18500044	SRR18500050	SRR18500061	SRR18500077	SRR18500078	SRR18500080	SRR18500083	SRR18500085	SRR18500086	SRR18500088	SRR18500090	SRR2396633	SRR2396644	SRR2396654	SRR2396655	SRR3383870	SRR5109820	SRR5109826	SRR5109829	SRR5109831	SRR5109832	SRR5109833	SRR5117442	SRR5117444	SRR5117446	SRR5117447	SRR5117448	SRR5117449	SRR5117450	SRR5387735	SRR5387737	SRR5387738	SRR6148364	SRR6148369	SRR6148371	SRR6148372	SRR6148374	SRR6148376	SRR6148377	SRR6148378	SRR6148379	SRR8335255	SRR8754037	SRR8754040	SRR8754041	SRR8754042	SRR8754044	SRR8867392	SRR8867393	SRR8867394	SRR8867395
SRR13769017	0.982241441441441	0.28732972972973	1	1	0.0231135135135135	0.0231135135135135	0.0231135135135135	0.0231135135135135	0.0231135135135135	0.0231135135135135	0.982241441441441	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0244504504504504	0.978110810810811	0.0231135135135135	0	0.982241441441441	1	1	1	1	1	1	1	1	1	0.98233963963964	1	1	1	1	1	1	1	1	1	0.0604459459459459	1	1	1	1	0.994645045045045	1	1	1	1	0.994645045045045	1	1	1	1	1	1	1	1	1	1	1	0.982241441441441	1	1	1	1	1	0.0231135135135135	1	1	1	1	1	1	1	1	1	1	1
SRR13769019	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0170900900900901	1	0.982241441441441	0	1	1	1	1	1	1	1	1	1	0.922122522522523	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR1380984	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.970156756756757	1	1	1	1	1	1	1	1	1	0	1	1	1	0.660892792792793	1	0.906551351351351	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0.72097027027027	0.988754954954955	0.995927027027027	0.74425045045045	0.623577477477477	0.744542342342342	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.978499099099099	1
SRR15496106	1	0.71267027027027	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0.0124225225225225	1	1	1	1	0	0	1	0	1	1	0.00129189189189189	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.117686486486486	1	1	1	1	1	0.011245045045045	1	0.25574954954955	1	1	0	0.973085585585586	1	1	1	1	1	0	1	1	0	0	0	0.271427027027027	0	0	1	1	1	1
SRR15496109	1	0.71267027027027	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0.0124225225225225	1	1	1	1	0	0	1	0	1	1	0.00129189189189189	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.117686486486486	1	1	1	1	1	0.011245045045045	1	0.25574954954955	1	1	0	0.973085585585586	1	1	1	1	1	0	1	1	0	0	0	0.271427027027027	0	0	1	1	1	1
SRR15496114	1	0.71267027027027	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0.0124225225225225	1	1	1	1	0	0	1	0	1	1	0.00129189189189189	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.117686486486486	1	1	1	1	1	0.011245045045045	1	0.25574954954955	1	1	0	0.973085585585586	1	1	1	1	1	0	1	1	0	0	0	0.271427027027027	0	0	1	1	1	1
SRR1790685	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.970156756756757	1	1	1	1	1	1	1	1	1	0.660892792792793	1	1	1	0	0.339107207207207	0.906551351351351	1	1	1	1	1	1	1	1	1	1	1	1	1	0.660892792792793	0.660892792792793	0.660892792792793	0.54954954954955	1	1	1	1	1	1	1	1	1	0.726	0.988754954954955	0.995927027027027	0.746523423423423	0.671153153153153	0.746601801801802	1	1	1	0.695071171171171	1	1	1	1	1	0.339107207207207	1	1	1	1	1	1	1	1	0.978499099099099	1
SRR1790687	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.339107207207207	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.54954954954955	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.695071171171171	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
SRR18500042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999016216216216	0.0934486486486486	0.999045945945946	1	0.0934486486486486	0.0640630630630631	0.0935	0.0934486486486486	0.0934558558558558	1	1	1	1	1	1	0.906551351351351	1	1	1	0.906551351351351	1	0	0.987577477477477	0.0934486486486486	1	1	1	1	1	1	1	1	1	0.999151351351351	1	0.906551351351351	0.906551351351351	0.906551351351351	1	1	1	0.0934486486486486	0.967747747747748	0.882313513513514	1	1	1	1	0.185581081081081	0.988758558558559	0.995927027027027	0.906556756756757	0.282973873873874	0.162025225225225	1	1	1	1	1	1	1	1	1	1	1	1	1	0.728572972972973	1	1	1	0.0934486486486486	0.0722054054054054	0.093727027027027
SRR18500043	1	0.71267027027027	0.0124225225225225	1	1	1	1	1	1	1	1	0.0124225225225225	0.0124225225225225	0.0124225225225225	0.999272972972973	0.987577477477477	0.99929009009009	0.0124225225225225	0.987577477477477	0.987577477477477	0.987577477477477	0.987577477477477	0.987577477477477	1	1	1	1	1	1	1	0.0124225225225225	0.0124225225225225	0.0124225225225225	1	1	0.987577477477477	0	0.987577477477477	1	1	1	0.0124225225225225	0.0124225225225225	1	0.0124225225225225	1	1	0.012145045045045	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	0.987577477477477	0.959888288288288	0.105263963963964	1	1	1	1	0.987577477477477	0.017345045045045	1	0.25574954954955	0.987577477477477	0.987577477477477	0.0124225225225225	0.973085585585586	1	1	1	1	1	0.0124225225225225	1	1	0.0124225225225225	0.0124225225225225	0.0124225225225225	0.259004504504505	0.0124225225225225	0.0124225225225225	1	0.987577477477477	0.987577477477477	0.987577477477477
SRR18500044	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999016216216216	0	0.999045945945946	1	0	0.0298432432432432	0.0197171171171171	0	0.0113477477477477	1	1	1	1	1	1	1	1	1	1	1	1	0.0934486486486486	0.987577477477477	0	1	1	1	1	1	1	1	1	1	0.999151351351351	1	1	1	1	1	1	1	0	0.967747747747748	0.882313513513514	1	1	1	1	0.27902972972973	1	1	1	0.376422522522523	0.255457657657658	1	1	1	1	1	1	1	1	1	1	1	1	1	0.728572972972973	1	1	1	0	0.0278900900900901	0.0335693693693694
SRR18500050	0.922122522522523	1	1	1	1	1	1	1	1	1	0.922122522522523	1	1	1	0.0778774774774775	1	0.0778774774774775	1	1	1	1	1	1	1	1	0.922122522522523	1	0.98233963963964	0.922122522522523	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0.999556756756757	1	1	1	1	1	1	0.0778774774774775	1	1	1	1	0.0778774774774775	0.0778774774774775	0.0789027027027027	1	1	0.0778810810810811	1	1	1	1	1	0.922122522522523	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999624324324324
SRR18500061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0.0313648648648649	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0.0678990990990991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0.993610810810811	0.966806306306306
SRR18500077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.983904504504505	1	0.989861261261261	0.968635135135135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0313648648648649	0	1	1	0.0313648648648649	1	0.968635135135135	0.0313648648648649	1	1	1	1	1	1	1	1	1	0.0691648648648649	1	1	1	1	1	1	1	1	1	1	1	1	0.968635135135135	1	0.968635135135135	0.968635135135135	1	1	1	1	1	1	1	1	1	1	1	0.0313648648648649	1	0.993610810810811	0.966806306306306
SRR18500078	1	0.71267027027027	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0.0124225225225225	1	1	1	1	0	0	1	0	1	1	0.00129189189189189	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.117686486486486	1	1	1	1	1	0.011245045045045	1	0.25574954954955	1	1	0	0.973085585585586	1	1	1	1	1	0	1	1	0	0	0	0.271427027027027	0	0	1	1	1	1
SRR18500080	1	0.71267027027027	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0.0124225225225225	1	1	1	1	0	0	1	0	1	1	0.00129189189189189	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.117686486486486	1	1	1	1	1	0.011245045045045	1	0.25574954954955	1	1	0	0.973085585585586	1	1	1	1	1	0	1	1	0	0	0	0.271427027027027	0	0	1	1	1	1
SRR18500083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0.0313648648648649	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0.0678990990990991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0.993610810810811	0.966806306306306
SRR18500085	1	0.71267027027027	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0.0124225225225225	1	1	1	1	0	0	1	0	1	1	0.00129189189189189	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.117686486486486	1	1	1	1	1	0.011245045045045	1	0.25574954954955	1	1	0	0.973085585585586	1	1	1	1	1	0	1	1	0	0	0	0.271427027027027	0	0	1	1	1	1
