AM_N_068 CA_N_007 CA_N_030 SRR10034516 SRR10034517 SRR10034518 SRR10034523 SRR10765021 SRR11426432 SRR11426433 SRR11440495 SRR11440496 SRR11445089 SRR11445090 SRR11445091 SRR11448239 SRR11448240 SRR11448241 SRR12053407 SRR12053408 SRR12053418 SRR12053420 SRR12053426 SRR12053430 SRR12233820 SRR12235348 SRR12244814 SRR12245258 SRR12245523 SRR12527928 SRR12527929 SRR12527932 SRR12527933 SRR12527934 SRR12527935 SRR12527936 SRR12527961 SRR12527962 SRR12527963 SRR12527964 SRR12527965 SRR12527966 SRR13404631 SRR13404632 SRR13404634 SRR13404636 SRR13404640 SRR13404641 SRR13442813 SRR13442815 SRR13442818 SRR13442822 SRR13442824 SRR13442825 SRR13442827 SRR13442828 SRR13442829 SRR13442830 SRR13442831 SRR13769013 SRR13769014 SRR13769015 SRR13769016 SRR13769017 SRR13769018 SRR13769019 SRR14567209 SRR14567210 SRR14567211 SRR14567212 SRR14567213 SRR14567214 SRR14567217 SRR14567218 SRR14567219 SRR14567220 SRR14567221 SRR14567222 SRR1503066 SRR1503113 SRR1503129 SRR1503133 SRR15496107 SRR15496114 SRR15496115 SRR17475010 SRR18500042 SRR18500043 SRR18500044 SRR18500045 SRR18500050 SRR18500061 SRR18500072 SRR18500076 SRR18500077 SRR18500078 SRR18500079 SRR18500080 SRR18500081 SRR18500082 SRR18500084 SRR18500085 SRR18500086 SRR18500087 SRR18500088 SRR18500090 SRR18500091 SRR2001612 SRR2001766 SRR2396653 SRR2895251 SRR2915407 SRR2954866 SRR3383868 SRR3948521 SRR3948531 SRR3948533 SRR3948536 SRR3948544 SRR3948548 SRR3948562 SRR3948566 SRR3948570 SRR3948572 SRR3948575 SRR3948577 SRR5109820 SRR5109826 SRR5109829 SRR5109831 SRR5109832 SRR5109833 SRR5117446 SRR5117450 SRR5253659 SRR5387735 SRR5387737 SRR5387738 SRR6148364 SRR6148366 SRR6148368 SRR6148369 SRR6148370 SRR6148371 SRR6148372 SRR6148374 SRR6148376 SRR6148378 SRR6148379 SRR8335253 SRR8335256 SRR8335258 SRR8754036 SRR8754038 SRR8754044 SRR8867392 SRR8867393 SRR8867394 SRR8867395
TRH116 0 0 0 0 0 0 0 0.180064308681672 0.439821693907875 0 0 0.0517241379310345 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010349750178444 0 0 0 0 0 0 0 0 0 0.495049504950495 0 0 0.96037815379057 0 0.823766677008998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0287679799874922 0 0.000859385887490129 0.00111185983827493 0 0 0 0.00439539640061199 0 0 0 0 0 0 0 0 0.0307835820895522 0.0125944584382872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0174361493123772 0.0259046052631579 0 0.034443168771527 0.0303398058252427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00024219841639497 0 0.00506756756756757 0 0.0092254134029591 0 0 0 0 0 0 0 0 0 0 0 0
TRH127 0 0 0 0 0 0 0 0 0.0237741456166419 0.188679245283019 0 0 0.0918160561184723 0.0331934662071032 0.0724961751206308 0.102110770340971 0.131844763423711 0.00728640263250676 0 0 0 0 0 0 0 0 0.125267665952891 0.0643478260869565 0.220394736842105 0.0431588613406795 0 0 0 0.0298889837745517 0 0 0 0 0 0.000421509002227976 0.0523263654753877 0.0152032268073224 0 0 0 0 0 0 0 0.000110031946353863 0 0.339285714285714 0.229452054794521 0 0 0 0.380573248407643 0.288305190744215 0.236363636363636 0.00628280763692108 0.00589622641509434 0.00315777058180181 0.00291356641864682 0.00186667686328765 0.0030546953454014 0.00216594010055308 0.0244897959183673 0.387417218543046 0.00484883057615516 0.211356466876972 0.00509952294785327 0.195011337868481 0.00938498855212749 0.0569029850746269 0.0646515533165407 0 0.0335254854368932 0.000988208271570316 0.073019801980198 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0442043222003929 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231673993109184 0 0 0 0.000176935635641271 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRH130 0 0 0 0 0 0 0 0 0.362555720653789 0 0 0.655172413793103 0.00966484801247077 0 0.0200070613157585 0.00974201695832582 0.00939216728690413 0 0 0 0 0 0 0 0 0 0 0 0.0274122807017544 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.133891213389121 0 0 0 0 0 0 0 0 0.0143839899937461 0 0.000290333070098016 0.000387466307277628 0.000300229461088117 0.000220017601408113 0.000135568710741561 0.00156678005667748 0.00143085698112763 0 0 0 0 0 0 0 0 0.00923593618807725 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213813905540071 0.00957354221061793 0 0 0 0 0 0 0 0 0 0 0 0
TRH152 0 0 0 0 0 0 0 0 0.0208023774145617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.36071167566601e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.405594405594406 0.757418397626113 0.763888888888889 0.634615384615385 0.855172413793103 0.181818181818182 0.759259259259259 0.587301587301587 0.859872611464968 0.563451776649746 1 0.778801843317972 0 0 0 0 0 0 0 0 0.00326719733871926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRH153 0 0 0 0 0 0 0 0 0.0401188707280832 0.415094339622642 0 0 0.0162120031176929 0.0104900344672561 0.199835235965635 0.0395092909976547 0.0242778663831295 0.0215066400282054 0 0 0 0 0 0 0.227208976157083 0.346850733390854 0.00856531049250535 0 0.0416666666666667 0.542699724517906 0 0 0 0 0 0 0 0 0 0 0 0.00328886130933913 0.756701030927835 0.000628241519885908 0 0 0.136363636363636 0 0 0 0 0 0 0.838951310861423 0 0.00444685656261489 0 0.075046904315197 0 0.00104519905235286 0.000707547169811321 0.000702322489331132 0.000553377603541617 0.00130006917480369 0.000741328818763506 0.000326266839103277 0 0 0.00356531660011409 0.0662460567823344 0 0 0 0.0457089552238806 0.0747271200671704 0 0.135669498381877 0 0.0532178217821782 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0537819253438114 0 0.798029556650246 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00932636331234407 0 0 0 0.000217148280105196 0 0 0 0 0 0 0 0 0 0 0 0.203370786516854 0 0 0 0 0 0 0 0
TRH159 0 0 0 0 0 0 0 0 0 0.207547169811321 0 0 0 0 0 0.0135305791087859 0.012227538543328 0 0 0 0 0 0.388888888888889 0 0 0 0 0.0869565217391304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00404143633576439 0 0 0.00395364962530336 0 0.00279707043675309 0.00270054600558978 0.0802721088435374 0 0.0106959498003423 0 0.0950814278664254 0.0702947845804989 0.000204021490263641 0.0783582089552239 0 0 0.0029834142394822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.30952380952381 0 0.00493421052631579 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00456173051454358 0 0 0 0 0.20703125 0 0 0 0 0 0 0 0 0 0
TRH162 0 0 0 0 0 0 0 0 0 0 0.71900826446281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0415739972210631 0.0579291375969407 0.0722625433890817 0 0.45999200542928 0 0 0 0 0 0 0 0.184229415781089 0 0 0 0.160031588238027 0.175943396226415 0.128975359739229 0.150365362562338 0.120426728587965 0.105373845288356 0.0846957266905929 0 0 0.091842555618939 0 0.0917914130613588 0.0430839002267574 0.119994861680986 0 0.019311502938707 0 0 0.325147229678298 0 0 0 0 0 0 0 0 0.108973165332175 0 0 0 0 0 0 0.0883558656781509 0 0 0 0.0628215020576132 0 0.0612173302929311 0.236603099464074 0 0 0 0.0206139568088524 0.0247508749244543 0 0 0 0 0 0 0 0.198501872659176 0 0 0 0 0 0 0 0 0 0 0 0 0.604972651162791 0 0 0.894943247034817 0 0.607886002707489 0 0 0 0 0 0 0.116729264349882 0.000517866390471258 0.166444496719726 0.130287084526743 0.12067070330694 0.0869671849708147 0 0.131113741361536 0.161009573542211 0 0 0 0 0 0 0 0 0.0505098719895856 0.0160128257132371 0 0.00534628662206336
TRH171 0 0 0 0 0 0 0 0 0 0 0.0785123966942149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0121341898643826 0 0 0 0 0 0 0 0 0 0 0 0 0.00180646715240561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00294122796267442 0 0.0231394621638524 0 0.000487759557764668 0.00043800539083558 0 0 0 0 0.000341990542192592 0 0 0 0 0 0 0 0 0.0125944584382872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0265225933202358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.04252889278505e-05 0 0 0 0 0 0 0 0 0 0 0 0.407865168539326 0 0 0 0 0 0 0 0
TRH181 0 0 0 0 0 0 0 0 0 0 0 0.192118226600985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0339912280701754 0 0 0 0 0 0 0 0 0 0.000936402653140851 0 0 0 0 0 0 0 0 0 0 0 0 0 0.089041095890411 0 0 0 0 0.0225140712945591 0 0.00200910484507827 0.000859164420485175 0.000520040316527632 0 0 0 0 0 0 0 0 0 0 0 0 0.0159529806884971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0394088669950739 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000120637933391776 0 0 0 0 0.000588610388973365 0 0 0.0144473455178416 0 0 0 0 0 0 0 0 0 0 0 0
TRH185 0 0 0 0 0 0 0 0 0 0 0 0 0.387529228371005 0.502472650981567 0.320701424032011 0.23777737687173 0.186425660109871 0.658244212010812 0.854430379746835 0.236220472440945 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0829931972789116 0 0 0.299684542586751 0 0 0 0 0 0.00113353778019912 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
