Taxa	Class	taxID
Kocuria	bacteria	TRH209
Colpodella	eukaryota	TRH210
Zygosaccharomyces	eukaryota	TRH211
Gardnerella	bacteria	TRH212
Lysinibacillus	bacteria	TRH213
Microbacteriaceae	bacteria	TRH214
Brevibacterium	bacteria	TRH215
Lawsonella	bacteria	TRH216
Leptotrichia	bacteria	TRH217
Treponema	bacteria	TRH218
Pseudoalteromonas	bacteria	TRH219
Flavobacterium	bacteria	TRH220
Exiguobacterium	bacteria	TRH221
Fusobacterium	bacteria	TRH222
Janibacter	bacteria	TRH223
Pseudomonas	bacteria	TRH224
Selenomonas	bacteria	TRH225
Malassezia	eukaryota	TRH226
Cellvibrio	bacteria	TRH227
Yarrowia	eukaryota	TRH228
Capnocytophaga	bacteria	TRH229
Ochrobactrum	bacteria	TRH230
Achromobacter	bacteria	TRH231
Modestobacter	bacteria	TRH232
Roseomonas	bacteria	TRH233
Geodermatophilus	bacteria	TRH234
Phreatobacter	bacteria	TRH235
Delftia	bacteria	TRH236
Tessaracoccus	bacteria	TRH237
Rathayibacter	bacteria	TRH238
Microbacterium	bacteria	TRH239
Nocardioides	bacteria	TRH240
Mucilaginibacter	bacteria	TRH241
Finegoldia	bacteria	TRH242
Sinorhizobium	bacteria	TRH243
Mesorhizobium	bacteria	TRH244
Janthinobacterium	bacteria	TRH245
Massilia	bacteria	TRH246
Brachybacterium	bacteria	TRH247
Stenotrophomonas	bacteria	TRH248
Mycobacteroides	bacteria	TRH249
Uwebraunia	eukaryota	TRH250
Zalaria	eukaryota	TRH251
Hormonema	eukaryota	TRH252
Trichophyton	eukaryota	TRH253
Plectania	eukaryota	TRH254
Pleosporaceae	eukaryota	TRH255
Microascospora	eukaryota	TRH256
Hafnia	bacteria	TRH257
Propionibacterium	bacteria	TRH258
Campylobacter	bacteria	TRH259
Lautropia	bacteria	TRH260
Singulisphaera	bacteria	TRH261
Peptoniphilus	bacteria	TRH262
Leclercia	bacteria	TRH263
Microvirga	bacteria	TRH264
Kytococcus	bacteria	TRH265
Deinococcus	bacteria	TRH266
Friedmanniella	bacteria	TRH267
Sphingobacterium	bacteria	TRH268
Xanthobacter	bacteria	TRH269
Burkholderia	bacteria	TRH270
Phocaeicola	bacteria	TRH271
Granulicatella	bacteria	TRH272
Oribacterium	bacteria	TRH273
Helotiaceae	eukaryota	TRH274
Malasseziaceae	eukaryota	TRH275
Neorhizobium	bacteria	TRH276
Nocardia	bacteria	TRH277
Bacteroides	bacteria	TRH278
Pedobacter	bacteria	TRH279
Bordetella	bacteria	TRH280
Frondihabitans	bacteria	TRH281
Peptostreptococcaceae	bacteria	TRH282
Dolosigranulum	bacteria	TRH283
Pseudoxanthomonas	bacteria	TRH284
Ensifer	bacteria	TRH285
Diaminobutyricimonas	bacteria	TRH286
Sporosarcina	bacteria	TRH287
Kingella	bacteria	TRH288
Cardiobacterium	bacteria	TRH289
Erysiphe	eukaryota	TRH290
Aerococcus	bacteria	TRH291
Curtobacterium	bacteria	TRH292
Shinella	bacteria	TRH293
Aggregatibacter	bacteria	TRH294
Spirosoma	bacteria	TRH295
Brevundimonas	bacteria	TRH296
Thermus	bacteria	TRH297
Lysobacter	bacteria	TRH298
Devosia	bacteria	TRH299
Aureimonas	bacteria	TRH300
Saccharopolyspora	bacteria	TRH301
Qipengyuania	bacteria	TRH302
Luteimonas	bacteria	TRH303
Alloprevotella	bacteria	TRH304
Mycobacterium	bacteria	TRH305
Lachnoanaerobaculum	bacteria	TRH306
Steroidobacter	bacteria	TRH307
Pauljensenia	bacteria	TRH308
Pediococcus	bacteria	TRH309
Actinoplanes	bacteria	TRH310
Pannonibacter	bacteria	TRH311
Tannerella	bacteria	TRH312
Ornithinimicrobium	bacteria	TRH313
Polymorphum	bacteria	TRH314
Bosea	bacteria	TRH315
Variovorax	bacteria	TRH316
Aminobacter	bacteria	TRH317
Parvimonas	bacteria	TRH318
Prorocentrum	eukaryota	TRH319
Acrodontium	eukaryota	TRH320
Mogibacterium	bacteria	TRH321
Phyllosticta	eukaryota	TRH322
Leucosporidium	eukaryota	TRH323
Dothideaceae	eukaryota	TRH324
Duganella	bacteria	TRH325
Mannheimia	bacteria	TRH326
Lancefieldella	bacteria	TRH327
Comamonas	bacteria	TRH328
Oscillatoria	bacteria	TRH329
Actinobacillus	bacteria	TRH330
Lachnospiraceae	bacteria	TRH331
Porphyromonas	bacteria	TRH332
Asticcacaulis	bacteria	TRH333
Diplodia	eukaryota	TRH334
Lobosporangium	eukaryota	TRH335
Plasmodium	eukaryota	TRH336
Schlegelella	bacteria	TRH337
Paenibacillus	bacteria	TRH338
Zymomonas	bacteria	TRH339
Limnohabitans	bacteria	TRH340
Cedecea	bacteria	TRH341
Apiotrichum	eukaryota	TRH342
Faecalibacterium	bacteria	TRH343
Botrytis	eukaryota	TRH344
Meiothermus	bacteria	TRH345
Methylobacterium	bacteria	TRH346
Mucor	eukaryota	TRH347
Pseudogymnoascus	eukaryota	TRH348
Meyerozyma	eukaryota	TRH349
Lasiodiplodia	eukaryota	TRH350
Venustampulla	eukaryota	TRH351
Nakaseomyces	eukaryota	TRH352
Swingsia	bacteria	TRH353
Mycoplasmopsis	bacteria	TRH354
Albugo	eukaryota	TRH355
Mycoplasma	bacteria	TRH356
Golovinomyces	eukaryota	TRH357
Buttiauxella	bacteria	TRH358
Claviceps	eukaryota	TRH359
Saprolegnia	eukaryota	TRH360
Enterococcus	bacteria	TRH361
Rhodospirillum	bacteria	TRH362
Amycolatopsis	bacteria	TRH363
Pseudonocardia	bacteria	TRH364
Saccharomyces	eukaryota	TRH365
Theileria	eukaryota	TRH366
Candida	eukaryota	TRH367
Blastomyces	eukaryota	TRH368
Didymella	eukaryota	TRH369
Clonostachys	eukaryota	TRH370
Sphaerulina	eukaryota	TRH371
Tilletiopsis	eukaryota	TRH372
Limnobacter	bacteria	TRH373
Cutaneotrichosporon	eukaryota	TRH374
Plantibacter	bacteria	TRH375
Raoultella	bacteria	TRH376
