Taxa	Class	taxID
Iflavirus	viruses	TRH778
Tobamovirus	viruses	TRH779
Gammaretrovirus	viruses	TRH780
Potexvirus	viruses	TRH781
Siphoviridae	viruses	TRH782
Orthorubulavirus	viruses	TRH783
Lambdavirus	viruses	TRH784
Teseptimavirus	viruses	TRH785
Zindervirus	viruses	TRH786
Sinaivirus	viruses	TRH787
Triatovirus	viruses	TRH788
Teetrevirus	viruses	TRH789
Potyvirus	viruses	TRH790
Polerovirus	viruses	TRH791
Aparavirus	viruses	TRH792
Capillovirus	viruses	TRH793
Dicistroviridae	viruses	TRH794
Peribunyaviridae	viruses	TRH795
Comovirus	viruses	TRH796
Virgaviridae	viruses	TRH797
Orthomyxoviridae	viruses	TRH798
Phlebovirus	viruses	TRH799
Chlorovirus	viruses	TRH800
Cripavirus	viruses	TRH801
Reoviridae	viruses	TRH802
Nepovirus	viruses	TRH803
Rhabdoviridae	viruses	TRH804
Ilarvirus	viruses	TRH805
Fabavirus	viruses	TRH806
Orthophasmavirus	viruses	TRH807
Phasmaviridae	viruses	TRH808
Flaviviridae	viruses	TRH809
Sobemovirus	viruses	TRH810
Betaflexiviridae	viruses	TRH811
Amalgaviridae	viruses	TRH812
Cucumovirus	viruses	TRH813
Betacarmovirus	viruses	TRH814
Maculavirus	viruses	TRH815
Negevirus	viruses	TRH816
Secoviridae	viruses	TRH817
Chuviridae	viruses	TRH818
Tymoviridae	viruses	TRH819
Iflaviridae	viruses	TRH820
