tax_name	species	genus	family	order	class	phylum	kingdom	superkingdom	ID
Roseovarius	NA	Roseovarius	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH427
Salipiger	NA	Salipiger	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH431
Sulfitobacter	NA	Sulfitobacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH429
Thalassococcus	NA	Thalassococcus	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH640
Acetobacteraceae	NA	Acetobacteraceae		Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH119
Acidiphilium	NA	Acidiphilium	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH708
Asaia	NA	Asaia	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH75
Bombella	NA	Bombella	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH78
Commensalibacter	NA	Commensalibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH455
Gluconacetobacter	NA	Gluconacetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH647
Granulibacter	NA	Granulibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH438
Komagataeibacter	NA	Komagataeibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH720
Kozakia	NA	Kozakia	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH686
Neokomagataea	NA	Neokomagataea	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH682
